time,binding_all_after,curtail_cause,curtailed_total_mw,margin_after,residual_class,viol_L1,viol_L2,viol_L3,viol_L4,worst_corridor_pct,worst_dso_trafo_pct,worst_plant_pct,pcc_p_mw,available_total_mw
2024-01-15 09:45:00+00:00,L2:SUB_B=0.003515,none,0.0,0.0,none,0,1,0,0,55.03723329799217,56.585191168167825,83.77586242625611,141.27052912327434,247.5712
2024-01-15 10:00:00+00:00,L2:SUB_B=0.003637,none,0.0,0.0,none,0,1,0,0,54.7499091318248,56.588883252274535,83.81987323582136,141.71689781485387,248.06529999999998
2024-01-15 10:15:00+00:00,L2:SUB_B=0.00356,none,0.0,0.0,none,0,1,0,0,54.87956388975935,56.58600224704322,83.79162919690927,141.45805205640758,247.7767
2024-01-15 10:30:00+00:00,L2:SUB_B=0.003483,none,0.0,0.0,none,0,1,0,0,54.99563770433003,56.5831151269122,83.7636777245183,141.20036251998127,247.4894
2024-01-15 10:45:00+00:00,L2:SUB_B=0.003391,none,0.0,0.0,none,0,1,0,0,55.0831470550886,56.57974583318551,83.73037980654911,140.8961377286316,247.1497
2024-01-15 21:30:00+00:00,L2:SUB_B=0.0003803,none,0.0,0.0,none,0,1,0,0,57.06635373770011,56.27212071808258,83.20184158413701,201.99821631685526,248.39999999999998
2024-01-15 21:45:00+00:00,L2:SUB_B=0.0003803,none,0.0,0.0,none,0,1,0,0,57.94724112784152,56.27212071808365,83.2018415841391,201.99821631685276,248.39999999999998
2024-01-15 22:00:00+00:00,L2:SUB_B=0.0003803,none,0.0,0.0,none,0,1,0,0,58.87252243864491,56.27212071808374,83.20184158413811,201.99821631686154,248.39999999999998
2024-01-15 22:15:00+00:00,L2:SUB_B=0.0003803,none,0.0,0.0,none,0,1,0,0,59.11328236715453,56.272120718082874,83.2018415841378,201.99821631685543,248.39999999999998
2024-01-15 22:30:00+00:00,L2:SUB_B=0.003731,none,0.0,0.0,none,0,1,0,0,52.24127667258747,56.59330622298118,83.85387617357368,142.01491849844402,248.39999999999998
2024-01-15 22:45:00+00:00,L2:SUB_B=0.003731,none,0.0,0.0,none,0,1,0,0,52.47085221393155,56.593306222974704,83.85387617357239,142.01491849845064,248.39999999999998
2024-01-15 23:00:00+00:00,L2:SUB_B=0.003731,none,0.0,0.0,none,0,1,0,0,52.712207217576804,56.593306222975755,83.85387617357013,142.01491849844274,248.39999999999998
2024-01-15 23:15:00+00:00,L2:SUB_B=0.003731,none,0.0,0.0,none,0,1,0,0,53.87168733342177,56.59330622297537,83.8538761735692,142.01491849843933,248.39999999999998
2024-01-16 08:15:00+00:00,L2:SUB_B=0.0003803,none,0.0,0.0,none,0,1,0,0,61.69648943847439,56.27212071808161,83.20184158413767,201.99821631685103,248.39999999999998
2024-01-16 08:30:00+00:00,L2:SUB_B=0.0003803,none,0.0,0.0,none,0,1,0,0,60.69370186411936,56.2721207180868,83.2018415841406,201.9982163168537,248.39999999999998
2024-01-16 08:45:00+00:00,L2:SUB_B=0.0003803,none,0.0,0.0,none,0,1,0,0,60.27918761924355,56.272120718083244,83.20184158413883,201.99821631685825,248.39999999999998
2024-01-16 09:00:00+00:00,L2:SUB_B=0.0003803,none,0.0,0.0,none,0,1,0,0,59.90692429163614,56.27212071808471,83.20184158414015,201.99821631684938,248.39999999999998
2024-01-16 09:15:00+00:00,L2:SUB_B=0.003737,none,0.0,0.0,none,0,1,0,0,57.69705411982973,56.59327759674208,83.85601108542534,142.0471835348626,248.4349
2024-01-16 09:30:00+00:00,L2:SUB_B=0.0003958,none,0.0,0.0,none,0,1,0,0,58.28498155423983,56.27222945736769,83.20673305232312,202.0631370723591,248.47029999999998
